STT,Từ mới,Phiên âm,Giải thích,Ví dụ (chữ hán),Phiên âm,Dịch
1,爱,ài,yêu,我爱你。,Wǒ ài nǐ.,Tôi yêu bạn.
2,八,bā,tám,他有八个苹果。,Tā yǒu bā ge píngguǒ.,Anh ấy có tám quả táo.
3,爸爸,bàba,bố,我的爸爸很高。,Wǒ de bàba hěn gāo.,Bố của tôi rất cao.
4,杯子,bēizi,cốc,这是我的杯子。,Zhè shì wǒ de bēizi.,Đây là cốc của tôi.
5,北京,Běijīng,Bắc Kinh,北京很大。,Běijīng hěn dà.,Bắc Kinh thì lớn.
6,本,běn,cuốn (dùng cho sách),这本书很有趣。,Zhè běn shū hěn yǒuqù.,Quyển sách này rất thú vị.
7,不客气,bú kèqì,không có gì (đáp lại lời cảm ơn),不客气。,bú kèqì.,Không có gì.
8,不,bù,không,他不喜欢吃鱼。,Tā bù xǐhuān chī yú.,Anh ấy không thích ăn cá.
9,菜,cài,"món ăn, rau củ",我喜欢吃菜。,Wǒ xǐhuān chī cài.,Tôi thích ăn rau.
10,茶,chá,trà,我喝茶。,Wǒ hē chá.,Tôi uống trà.
11,吃,chī,ăn,我吃苹果。,Wǒ chī píngguǒ.,Tôi ăn táo.
12,出租车,chūzūchē,taxi,我坐出租车。,Wǒ zuò chūzūchē.,Tôi đi taxi.
13,打电话,dǎ diànhuà,gọi điện thoại,她给我打电话。,Tā gěi wǒ dǎ diànhuà.,Cô ấy gọi điện cho tôi.
14,大,dà,"lớn, to",这件衣服很大。,Zhè jiàn yīfú hěn dà.,Cái áo này rất to.
15,的,de,của (thuộc tính),这是我的书。,Zhè shì wǒ de shū.,Đây là sách của tôi.
16,点,diǎn,giờ (trong thời gian),现在是三点。,Xiànzài shì sān diǎn?,Bây giờ là mấy giờ?
17,电脑,diànnǎo,máy tính,我用电脑。,Wǒ yòng diànnǎo.,Tôi dùng máy tính.
18,电视,diànshì,ti vi,电视很大。,Diànshì hěn dà.,Tivi thì lớn.
19,电影,diànyǐng,phim,我喜欢看电影。,Wǒ xǐhuān kàn diànyǐng.,Tôi thích xem phim.
20,东西,dōngxī,"đồ vật, thứ",这是什么东西？,Zhè shì shénme dōngxī?,Đây là cái gì?
21,都,dōu,đều,我们都去学校。,Wǒmen dōu qù xuéxiào.,Chúng tôi đều đi đến trường.
22,读,dú,đọc,她读书很快。,Tā dúshū hěn kuài.,Cô ấy đọc sách rất nhanh.
23,对不起,duìbùqǐ,xin lỗi,对不起，我迟到了。,"Duìbuqǐ, wǒ chídào le.","Xin lỗi, tôi đến muộn."
24,多,duō,nhiều,我有很多书。,Wǒ yǒu hěn duō shū.,Tôi có nhiều sách.
25,多少,duōshǎo,bao nhiêu,这本书多少钱？,Zhè běn shū duōshǎo qián?,Quyển sách này bao nhiêu tiền?
26,儿子,érzi,con trai,我的儿子很聪明。,Wǒ de érzi hěn cōngmíng.,Con trai của tôi rất thông minh.
27,二,èr,hai,我喜欢“二”数字。,"Wǒ xǐhuān ""èr"" shùzi",Tôi thích số 2.
28,饭馆,fànguǎn,nhà hàng,我们去饭馆吃饭。,Wǒmen qù fànguǎn chīfàn.,Chúng tôi đi nhà hàng ăn cơm.
29,飞机,fēijī,máy bay,飞机很快。,Fēijī hěn kuài.,Máy bay thì nhanh.
30,分钟,fēnzhōng,phút,他等了五分钟。,Tā děngle wǔ fēnzhōng.,Anh ấy đợi năm phút.
31,高兴,gāoxìng,vui,我很高兴。,Wǒ hěn gāoxìng.,Tôi rất vui.
32,个,gè,cái (đơn vị lượng từ),我有一个钱包。,Wǒ yǒu yī ge qiánbāo.,Tôi có một cái ví tiền.
33,工作,gōngzuò,công việc,我的工作很忙。,Wǒ de gōngzuò hěn máng.,Công việc của tôi rất bận.
34,狗,gǒu,chó,这只狗很可爱。,Zhè zhī gǒu hěn kě'ài.,Con chó này rất dễ thương.
35,汉语,Hànyǔ,tiếng Hán,我在学汉语。,Wǒ zài xué Hànyǔ.,Tôi đang học tiếng Trung.
36,好,hǎo,"tốt, khỏe",他很好。,Tā hěn hǎo.,Anh ấy rất tốt.
37,喝,hē,uống,我喝水。,Wǒ hē shuǐ.,Tôi uống nước.
38,和,hé,và,我和你一起去。,Wǒ hé nǐ yīqǐ qù.,Tôi và bạn cùng đi.
39,很,hěn,rất,这个苹果很甜。,Zhège píngguǒ hěn tián.,Cái táo này rất ngọt.
40,后面,hòumiàn,phía sau,我家在后面。,Wǒ jiā zài hòumiàn.,Nhà tôi ở phía sau.
41,回,huí,"quay lại, về",我回家了。,Wǒ huí jiā le.,Tôi đã về nhà.
42,会,huì,"sẽ, biết (kỹ năng)",我会说汉语。,Wǒ huì shuō Hànyǔ.,Tôi biết nói tiếng Trung.
43,火车站,huǒchēzhàn,ga tàu,火车站在前面。,Huǒchēzhàn zài qiánmiàn.,Ga tàu ở phía trước.
44,几,jǐ,mấy,你有几个苹果？,Nǐ yǒu jǐ ge píngguǒ?,Bạn có mấy quả táo?
45,家,jiā,"gia đình, nhà",我家有四口人。,Wǒ jiā yǒu sì kǒu rén.,Nhà tôi có bốn người.
46,叫,jiào,"gọi, tên gọi",她叫李娜。,Tā jiào Lǐ Nà.,Cô ấy tên là Lý Na.
47,今天,jīntiān,hôm nay,今天是星期一。,Jīntiān shì xīngqī yī.,Hôm nay là thứ Hai.
48,九,jiǔ,chín,我有九本书。,Wǒ yǒu jiǔ běn shū.,Tôi có chín quyển sách.
49,开,kāi,"mở, khởi động",我们开车去。,Wǒmen kāichē qù.,Chúng tôi đi bằng ô tô.
50,看,kàn,xem,我喜欢看电影。,Wǒ xǐhuān kàn diànyǐng.,Tôi thích xem phim.
51,看见,kànjiàn,nhìn thấy,我看见你了。,Wǒ kànjiàn nǐ le.,Tôi đã thấy bạn.
52,块,kuài,"miếng, đồng (tiền)",这个苹果两块钱。,Zhège píngguǒ liǎng kuài qián.,Cái táo này hai tệ.
53,来,lái,đến,明天我来。,Míngtiān wǒ lái.,Ngày mai tôi đến.
54,老师,lǎoshī,giáo viên,我的老师很友好。,Wǒ de lǎoshī hěn yǒuhǎo.,Giáo viên của tôi rất thân thiện.
55,了,le,đã (dùng để chỉ sự thay đổi),她去了学校。,Tā qùle xuéxiào.,Cô ấy đã đi đến trường.
56,冷,lěng,lạnh,外面很冷。,Wàimiàn hěn lěng.,Bên ngoài rất lạnh.
57,里,lǐ,trong,我的书在里面。,Wǒ de shū zài lǐmiàn.,Sách của tôi ở bên trong.
58,零,líng,không (số 0),今天零度。,Jīntiān líng dù.,Hôm nay không độ.
59,六,liù,sáu,我有六个苹果。,Wǒ yǒu liù ge píngguǒ.,Tôi có sáu quả táo.
